embedding_size,window_size,algorithm,n_clusters,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,fmi,vi,micro_precision,micro_recall,micro_f1,noise_points,noise_percentage,clustered_points,clustered_percentage,total_points_in_embedding,compared_points
250,7,"DBSCAN (cosine, eps=0.1, min_samples=3)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.1, min_samples=4)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.1, min_samples=5)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.25, min_samples=2)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.25, min_samples=3)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.25, min_samples=4)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.25, min_samples=5)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.5, min_samples=2)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.5, min_samples=3)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.5, min_samples=4)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.5, min_samples=5)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.75, min_samples=2)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.75, min_samples=3)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.75, min_samples=4)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=0.75, min_samples=5)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.0, min_samples=2)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.0, min_samples=3)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.0, min_samples=4)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.0, min_samples=5)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.25, min_samples=2)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.25, min_samples=3)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.25, min_samples=4)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.25, min_samples=5)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.5, min_samples=2)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.5, min_samples=3)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.5, min_samples=4)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.5, min_samples=5)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.75, min_samples=2)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.75, min_samples=3)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.75, min_samples=4)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=1.75, min_samples=5)",2,1.0,1.0,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=2.0, min_samples=2)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=2.0, min_samples=3)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=2.0, min_samples=4)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=2.0, min_samples=5)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=2.5, min_samples=2)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=2.5, min_samples=3)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=2.5, min_samples=4)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=2.5, min_samples=5)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=3.0, min_samples=2)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=3.0, min_samples=3)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=3.0, min_samples=4)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (cosine, eps=3.0, min_samples=5)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15519765739385066,1.0,0.26869455006337134,0.25306034018076223,3.0297867934276046,0.15519765739385066,0.15519765739385066,0.15519765739385066,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.025, min_samples=2)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.025, min_samples=3)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.025, min_samples=4)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.025, min_samples=5)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.05, min_samples=2)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.05, min_samples=3)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.05, min_samples=4)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.05, min_samples=5)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.1, min_samples=2)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.1, min_samples=3)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.1, min_samples=4)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.1, min_samples=5)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.25, min_samples=2)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.25, min_samples=3)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.25, min_samples=4)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.25, min_samples=5)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.5, min_samples=2)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.5, min_samples=3)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.5, min_samples=4)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.5, min_samples=5)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.75, min_samples=2)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.75, min_samples=3)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.75, min_samples=4)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=0.75, min_samples=5)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.0, min_samples=2)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.0, min_samples=3)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.0, min_samples=4)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.0, min_samples=5)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.25, min_samples=2)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.25, min_samples=3)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.25, min_samples=4)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.25, min_samples=5)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.5, min_samples=2)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
250,7,"DBSCAN (euclidean, eps=1.5, min_samples=3)",2,1.0,2.292543183980383e+34,0.0,0.1106466959786903,0.2715479411925475,0.16675521529221346,0.7307975492936716,0.27154794119254755,0.24107588509664205,0.9910714285714286,0.3878163255099453,0.33384112906993063,2.7106656348764857,0.23572474377745242,0.23572474377745242,0.23572474377745242,0.0,0.0,683.0,100.0,683,683
